flag_yellow_count,flag_double_yellow_count,flag_red_count,flag_clear_count,safety_car_deployments,virtual_safety_car_deployments,race_id,session,total_sc_laps,total_vsc_laps
3,0,0,3,0,0,118,FP3,,
3,4,1,6,0,0,118,Qualifying,,
11,5,0,12,1,1,118,Race,3.0,2.0
0,0,0,0,0,0,110,FP1,,
0,0,0,0,0,0,110,FP2,,
0,0,1,1,0,0,110,FP3,,
3,0,1,4,0,0,110,Qualifying,,
0,0,0,0,0,0,110,Race,0.0,0.0
0,0,0,1,0,0,121,FP1,,
0,0,0,0,0,0,121,Qualifying,,
1,2,0,7,0,0,121,Race,0.0,0.0
2,0,0,2,0,0,149,FP1,,
1,0,0,1,0,0,149,FP2,,
0,0,0,0,0,0,149,FP3,,
1,5,0,6,0,0,149,Qualifying,,
5,7,0,13,0,1,149,Race,0.0,2.0
2,1,1,3,0,0,128,FP1,,
2,3,0,2,0,0,128,FP2,,
2,1,0,2,0,0,128,FP3,,
5,2,0,9,0,0,128,Qualifying,,
5,8,0,10,0,2,128,Race,0.0,2.0
0,0,1,1,0,0,136,FP1,,
0,0,0,0,0,0,136,Qualifying,,
1,0,0,2,0,1,136,Race,0.0,1.0
10,5,3,15,0,0,142,FP1,,
14,10,0,20,0,0,142,FP2,,
7,8,2,14,0,0,142,FP3,,
14,5,0,15,0,0,142,Qualifying,,
12,8,0,48,0,1,142,Race,0.0,0.0
1,1,0,2,0,0,126,FP1,,
0,1,0,0,0,0,126,FP2,,
0,0,0,0,0,0,126,FP3,,
0,0,0,0,0,0,126,Qualifying,,
1,2,0,4,0,0,126,Race,0.0,0.0
1,0,0,2,0,0,139,FP1,,
0,2,0,1,0,0,139,FP2,,
5,3,2,7,0,0,139,FP3,,
1,14,0,12,0,0,139,Qualifying,,
1,0,0,1,0,0,139,Race,0.0,0.0
0,0,0,1,0,0,146,FP1,,
