race_id,driver_id,team_id,stop_number,stop_lap,pits_time
94,103,14,2,46,21.615
94,60,14,2,46,25.030
94,104,13,2,46,21.489
94,93,1,2,47,23.456
94,57,2,2,51,22.095
94,117,11,2,51,28.218
94,114,13,3,51,22.128
94,106,1,3,54,21.544
94,111,8,3,56,28.777
94,87,10,3,67,23.147
95,106,1,1,3,24.198
95,111,8,1,3,35.825
95,109,8,1,10,23.334
95,104,13,1,10,22.857
95,93,1,1,11,22.543
95,12,15,1,11,22.641
95,87,10,1,11,26.815
95,79,4,1,12,23.085
95,101,15,1,12,23.511
95,110,2,1,13,22.825
95,108,4,1,13,23.036
95,75,3,1,14,22.349
95,60,14,1,14,23.222
95,117,11,1,14,23.744
95,115,10,1,14,24.158
95,94,3,1,15,22.882
95,103,14,1,15,23.555
95,111,8,2,15,24.168
95,114,13,1,18,30.055
95,104,13,2,22,22.542
95,93,1,2,25,22.750
95,106,1,2,25,23.189
95,12,15,2,25,23.954
95,109,8,2,26,24.415
95,103,14,2,26,23.349
95,75,3,2,27,22.650
95,87,10,2,27,23.396
95,117,11,2,28,23.364
95,110,2,2,29,22.977
95,108,4,2,29,23.560
95,94,3,2,30,22.322
95,114,13,2,30,24.253
95,115,10,2,30,24.982
95,101,15,2,32,23.491
95,79,4,2,32,23.146
95,60,14,2,33,22.833
95,111,8,3,34,23.414
95,106,1,3,42,23.334
96,60,14,1,9,22.391
96,104,13,1,11,18.789
96,79,4,1,11,19.546
96,12,15,1,12,19.578
96,117,11,1,12,19.548
96,115,10,1,13,26.813
96,114,13,1,13,18.774
96,111,8,1,13,20.284
96,93,1,1,14,29.705
96,75,3,1,14,18.835
96,87,10,1,14,20.785
96,103,14,1,16,20.205
96,83,11,1,16,19.741
96,106,1,1,17,19.080
96,108,4,1,17,19.303
96,94,3,1,18,19.634
96,101,15,1,18,19.455
96,109,8,1,21,19.325
96,111,8,2,26,20.733
96,79,4,2,27,19.567
96,57,2,1,29,19.046
96,110,2,1,31,19.359
96,104,13,2,32,18.700
96,115,10,2,33,21.814
96,83,11,2,34,21.049
96,87,10,2,34,23.710
96,60,14,2,35,19.156
96,117,11,2,37,25.433
96,103,14,2,38,20.214
96,75,3,2,40,18.738
96,114,13,2,42,19.293
96,109,8,2,42,19.911
96,93,1,2,43,19.493
96,106,1,2,45,19.084
96,114,13,3,43,52.684
96,108,4,2,47,21.117
96,12,15,2,47,21.501
96,94,3,2,48,19.610
96,57,2,2,48,19.164
96,110,2,2,48,20.742
96,115,10,3,47,20.283
96,87,10,3,47,23.663
96,79,4,3,47,19.718
96,60,14,3,48,18.709
96,111,8,3,54,20.051
96,94,3,3,56,19.655
96,109,8,3,55,20.508
96,106,1,3,56,19.576
96,75,3,3,56,19.250
96,117,11,3,55,20.188
96,79,4,4,55,20.295
96,101,15,2,56,21.602
96,103,14,3,56,19.141
96,104,13,3,56,18.572
96,57,2,3,57,14.155
96,111,8,4,55,14.459
96,110,2,3,57,21.363
96,94,3,4,57,14.113
96,109,8,4,56,14.114
96,115,10,4,56,14.144
96,60,14,4,56,14.349
96,106,1,4,57,14.008
96,87,10,4,56,14.175
96,75,3,4,57,14.113
96,117,11,4,56,14.128
96,93,1,3,57,21.164
96,108,4,3,57,21.264
96,12,15,3,57,15.762
96,79,4,5,56,14.493
96,101,15,3,57,14.041
96,103,14,4,57,14.118
96,104,13,4,57,13.973
97,75,3,1,7,23.698
97,106,1,1,12,23.531
97,111,8,1,15,26.782
97,104,13,1,18,25.376
97,117,11,1,18,25.366
97,103,14,1,18,24.254
97,79,4,1,19,25.164
97,118,8,1,19,24.628
97,101,15,1,19,24.336
97,114,13,1,19,24.009
97,110,2,1,23,25.075
97,87,10,1,24,30.164
97,94,3,1,25,23.791
97,93,1,1,30,23.728
97,106,1,2,33,23.904
97,57,2,1,33,24.282
97,115,10,1,33,24.817
97,108,4,1,35,26.714
97,83,11,1,35,24.758
97,75,3,2,42,23.299
97,110,2,2,47,24.114
97,87,10,2,46,24.846
97,93,1,2,47,24.525
97,108,4,2,47,24.784
97,94,3,2,48,24.091
97,114,13,2,47,23.904
97,106,1,3,48,23.719
97,111,8,2,47,24.263
98,87,10,1,7,39.247
98,110,2,1,21,30.378
98,104,13,1,33,29.867
98,114,13,1,33,31.293
98,83,11,1,33,32.167
98,87,10,2,33,32.603
98,106,1,1,34,32.058
98,57,2,1,34,41.019
98,60,14,1,34,29.704
98,115,10,1,34,31.201
98,75,3,1,35,29.550
98,93,1,1,35,30.603
98,94,3,1,35,29.407
98,103,14,1,35,29.863
98,110,2,2,35,29.713
98,108,4,1,36,30.528
98,79,4,1,36,30.946
98,94,3,2,40,29.775
98,115,10,2,41,34.722
98,110,2,3,41,33.211
98,110,2,4,51,29.893
99,104,13,1,1,41.319
99,94,3,1,2,6:27.399
99,106,1,1,2,6:29.973
99,75,3,1,2,6:32.517
99,101,15,1,2,6:33.601
99,57,2,1,2,6:36.504
99,12,15,1,2,6:36.837
99,110,2,1,2,6:41.057
99,79,4,1,2,6:41.749
99,114,13,1,2,6:42.478
99,115,10,1,2,6:40.857
99,103,14,1,2,6:40.463
99,87,10,1,2,6:42.029
99,108,4,1,2,6:46.256
99,83,11,1,2,6:47.553
99,111,8,1,2,6:47.673
99,60,14,1,2,6:49.647
99,117,11,1,2,6:50.005
99,104,13,2,2,6:49.011
99,111,8,2,5,24.785
99,60,14,2,5,24.218
99,108,4,2,6,24.595
99,83,11,2,6,24.869
99,94,3,2,7,24.308
99,106,1,2,7,25.899
99,75,3,2,7,25.322
99,101,15,2,7,25.172
99,57,2,2,7,25.059
99,110,2,2,7,28.728
99,114,13,2,7,24.439
99,87,10,2,7,25.594
99,103,14,2,7,24.005
99,104,13,3,7,24.966
99,12,15,2,8,24.106
99,79,4,2,8,25.377
99,117,11,2,9,24.563
99,115,10,2,11,24.608
99,117,11,3,18,24.266
99,103,14,3,19,23.870
99,104,13,4,19,23.966
99,114,13,3,20,23.756
99,12,15,3,22,24.123
100,111,8,1,5,25.321
100,109,8,1,9,24.624
100,117,11,1,9,27.326
100,83,11,1,10,25.013
100,114,13,1,10,23.688
100,79,4,1,10,26.206
100,104,13,1,11,23.670
100,57,2,1,12,24.362
100,94,3,1,13,23.866
100,110,2,1,13,30.038
100,75,3,1,14,23.403
100,108,4,1,14,24.026
100,103,14,1,15,25.417
100,106,1,1,18,24.314
100,60,14,1,18,24.307
100,12,15,1,18,23.870
100,101,15,1,18,24.816
100,115,10,1,18,25.209
100,87,10,1,18,29.039
